City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Sri Aman,MY,2022-09-22 17:04:41,1.2376,111.4621,73.42,99,95,2.06
132,Maragogi,BR,2022-09-22 17:04:41,-9.0122,-35.2225,80.71,68,59,11.74
133,Leshukonskoye,RU,2022-09-22 17:04:41,64.8989,45.7622,42.48,81,100,4.16
134,Wenling,CN,2022-09-22 17:04:42,28.3669,121.36,69.46,84,11,5.12
135,Mayo,US,2022-09-22 17:04:42,38.8876,-76.5119,77.07,87,100,9.22
136,Sao Filipe,CV,2022-09-22 17:04:43,14.8961,-24.4956,79.41,80,95,10.87
137,Faya,SA,2022-09-22 17:04:44,18.3851,42.4509,68.52,52,64,2.89
138,Yerbogachen,RU,2022-09-22 17:04:44,61.2767,108.0108,35.64,98,100,4.47
139,Aykhal,RU,2022-09-22 17:04:45,66.0,111.5,13.32,93,61,5.01
140,Ukhta,RU,2022-09-22 17:04:45,63.5671,53.6835,39.94,85,16,4.61
141,Acapulco,MX,2022-09-22 17:04:45,16.8634,-99.8901,85.82,70,40,6.91
142,Ocean City,US,2022-09-22 17:00:10,39.2776,-74.5746,79.02,82,41,8.99
143,Tufanganj,IN,2022-09-22 17:04:46,26.3167,89.6667,76.89,94,100,2.64
144,New Norfolk,AU,2022-09-22 17:04:46,-42.7826,147.0587,54.91,89,100,1.79
145,Chuy,UY,2022-09-22 17:04:46,-33.6971,-53.4616,53.37,73,100,13.27
146,Maniitsoq,GL,2022-09-22 17:04:47,65.4167,-52.9,41.14,97,100,22.06
147,Norman Wells,CA,2022-09-22 17:04:47,65.282,-126.8329,47.98,76,100,5.91
148,Saint Anthony,US,2022-09-22 17:00:10,45.0205,-93.218,61.0,61,40,11.5
149,Dakar,SN,2022-09-22 17:01:16,14.6937,-17.4441,81.48,78,100,19.44
150,Sept-Iles,CA,2022-09-22 17:04:47,50.2001,-66.3821,52.32,98,100,6.91
151,San Cristobal,VE,2022-09-22 17:03:32,7.7669,-72.225,83.71,51,100,3.02
152,Tiksi,RU,2022-09-22 17:04:48,71.6872,128.8694,28.45,91,99,12.3
153,Gigmoto,PH,2022-09-22 17:04:49,13.7796,124.39,78.66,89,82,6.04
154,Udala,ES,2022-09-22 17:04:49,43.0778,-2.5125,74.89,68,1,5.23
155,Qaanaaq,GL,2022-09-22 17:04:50,77.484,-69.3632,20.89,63,20,6.82
156,Kodiak,US,2022-09-22 17:04:50,57.79,-152.4072,42.31,87,40,5.75
157,Lagoa,PT,2022-09-22 17:04:50,39.05,-27.9833,74.3,81,78,15.03
158,Nanakuli,US,2022-09-22 17:04:51,21.3906,-158.1547,76.42,80,0,3.44
159,Spitsevka,RU,2022-09-22 17:04:51,45.1231,42.5125,63.01,85,100,4.61
160,North Bend,US,2022-09-22 17:00:04,43.4065,-124.2243,65.16,100,12,4.03
161,Bathurst,AU,2022-09-22 17:04:52,-33.4166,149.5806,49.96,95,99,5.28
162,Bundibugyo,UG,2022-09-22 17:04:52,0.7414,30.0417,67.55,96,94,3.98
163,Valle De Allende,MX,2022-09-22 17:04:52,26.9333,-105.4,75.27,49,0,8.19
164,At-Bashi,KG,2022-09-22 17:04:53,41.1702,75.8106,56.66,44,28,2.82
165,Bambous Virieux,MU,2022-09-22 16:59:58,-20.3428,57.7575,72.21,83,75,14.97
166,Wajima,JP,2022-09-22 17:04:53,37.4,136.9,71.37,82,100,4.79
167,Cedar City,US,2022-09-22 17:04:53,37.6775,-113.0619,68.97,43,0,19.57
168,Lavrentiya,RU,2022-09-22 17:04:54,65.5833,-171.0,41.97,96,100,2.68
169,Tuktoyaktuk,CA,2022-09-22 17:04:54,69.4541,-133.0374,33.8,100,100,9.22
170,Yumen,CN,2022-09-22 17:04:55,40.2833,97.2,59.86,17,100,15.48
171,Havre-Saint-Pierre,CA,2022-09-22 17:04:55,50.2334,-63.5986,55.67,91,88,18.68
172,Katsuura,JP,2022-09-22 17:04:55,35.1333,140.3,71.2,95,100,14.07
173,Tabou,CI,2022-09-22 17:05:56,4.423,-7.3528,79.07,77,66,7.92
174,Fairbanks,US,2022-09-22 17:05:56,64.8378,-147.7164,39.6,95,100,4.61
175,Marsh Harbour,BS,2022-09-22 17:05:57,26.5412,-77.0636,83.8,70,2,12.17
176,Pevek,RU,2022-09-22 17:05:57,69.7008,170.3133,36.03,82,58,14.63
177,Hamilton,US,2022-09-22 17:01:46,39.1834,-84.5333,70.5,54,47,8.01
178,Llata,PE,2022-09-22 17:05:58,-9.4167,-76.7833,68.09,42,22,10.94
179,Lachi,PK,2022-09-22 17:05:58,33.3833,71.3386,87.98,42,0,2.24
180,Sitka,US,2022-09-22 17:05:59,57.0531,-135.33,51.69,82,40,4.61
181,Nsawam,GH,2022-09-22 17:05:59,5.8089,-0.3503,82.51,72,92,3.11
182,Yarada,IN,2022-09-22 17:04:29,17.65,83.2667,80.92,100,75,2.3
183,Quime,BO,2022-09-22 17:05:59,-16.9833,-67.2167,64.35,47,70,10.31
184,Gboko,NG,2022-09-22 17:06:00,7.3179,8.9951,79.61,79,68,5.99
185,Kapaa,US,2022-09-22 17:06:00,22.0752,-159.319,73.72,89,75,6.91
186,Olinda,BR,2022-09-22 17:06:00,-8.0089,-34.8553,83.93,61,40,9.22
187,Nichinan,JP,2022-09-22 17:06:01,31.6,131.3667,73.29,90,100,8.93
188,Hakui,JP,2022-09-22 17:06:01,36.8833,136.7833,68.22,92,100,4.16
189,Batticaloa,LK,2022-09-22 17:06:01,7.7102,81.6924,81.59,73,67,9.4
190,Jardim,BR,2022-09-22 17:06:02,-21.4803,-56.1381,72.19,63,96,8.43
191,Pangody,RU,2022-09-22 17:06:02,65.85,74.4859,37.27,68,89,31.34
192,Port Macquarie,AU,2022-09-22 17:06:03,-31.4333,152.9167,60.69,94,75,8.05
193,Along,IN,2022-09-22 17:06:03,28.1667,94.7667,72.3,98,73,0.47
194,Dhidhdhoo,MV,2022-09-22 17:06:03,6.8833,73.1,82.35,71,42,9.22
195,Gisborne,NZ,2022-09-22 17:06:04,-38.6533,178.0042,57.47,98,100,7.96
196,Synya,RU,2022-09-22 17:06:04,65.3718,58.0387,41.25,86,99,8.88
197,Port Hedland,AU,2022-09-22 17:06:04,-20.3167,118.5667,68.05,68,0,6.91
198,Tuatapere,NZ,2022-09-22 17:06:05,-46.1333,167.6833,43.54,88,96,2.98
199,Farah,AF,2022-09-22 17:06:05,32.5,62.5,79.12,11,0,4.38
200,Jiexiu,CN,2022-09-22 17:04:44,37.0244,111.9125,53.65,25,50,5.3
201,Nyimba,ZM,2022-09-22 17:06:05,-14.5566,30.8149,84.52,22,11,7.49
202,Cervo,ES,2022-09-22 17:06:06,43.6702,-7.4101,68.97,68,96,6.89
203,Sao Joao Da Barra,BR,2022-09-22 17:03:11,-21.6403,-41.0511,74.98,84,94,13.22
204,Mayumba,GA,2022-09-22 17:06:07,-3.432,10.6554,76.77,84,62,8.21
205,Chapais,CA,2022-09-22 17:06:07,49.7834,-74.8492,44.38,97,100,13.42
206,Bethel,US,2022-09-22 17:02:25,41.3712,-73.414,69.55,90,98,4.0
207,Port Lincoln,AU,2022-09-22 17:06:08,-34.7333,135.8667,54.64,82,75,2.68
208,Nikolskoye,RU,2022-09-22 17:06:08,59.7035,30.7861,49.91,93,100,4.52
209,Tura,IN,2022-09-22 17:06:09,25.5198,90.2201,74.21,94,84,4.21
210,Rawson,AR,2022-09-22 17:06:09,-43.3002,-65.1023,56.95,51,96,9.48
211,Merritt Island,US,2022-09-22 17:06:09,28.5392,-80.672,92.08,62,0,12.66
212,Eenhana,NA,2022-09-22 17:06:10,-17.4667,16.3333,79.54,11,2,8.19
213,Lamar,US,2022-09-22 17:06:10,33.6668,-95.5836,95.9,39,0,9.22
214,Bon Accord,CA,2022-09-22 17:06:11,53.8335,-113.4187,57.78,66,0,13.78
215,Kenora,CA,2022-09-22 17:06:11,49.8167,-94.4337,52.27,47,4,4.03
216,Vao,NC,2022-09-22 17:06:11,-22.6667,167.4833,71.85,75,50,13.78
217,Sioux Lookout,CA,2022-09-22 17:06:12,50.1001,-91.917,51.3,47,7,2.82
